Epoch,Training Time (s),Loss,GPU0 Util (%),GPU0 Memory (GB),GPU0 Avg Power (W),GPU1 Util (%),GPU1 Memory (GB),GPU1 Avg Power (W),GPU2 Util (%),GPU2 Memory (GB),GPU2 Avg Power (W),GPU3 Util (%),GPU3 Memory (GB),GPU3 Avg Power (W),GPU4 Util (%),GPU4 Memory (GB),GPU4 Avg Power (W),GPU5 Util (%),GPU5 Memory (GB),GPU5 Avg Power (W),GPU6 Util (%),GPU6 Memory (GB),GPU6 Avg Power (W),GPU7 Util (%),GPU7 Memory (GB),GPU7 Avg Power (W)
29,24.917214155197144,1.755537986755371,0.0,13.5126953125,55.220001220703125,58.599998474121094,13.5126953125,144.33900451660156,63.238094329833984,13.5126953125,125.21047973632812,0.0,13.5126953125,62.560001373291016,63.80952453613281,13.5126953125,120.16381072998047,92.0,13.5126953125,54.5,71.0,13.5126953125,55.13999938964844,68.0952377319336,13.5048828125,127.71190643310547
30,22.305116891860962,1.7427263259887695,23.0,13.5126953125,55.02000045776367,75.27777862548828,13.5126953125,144.04222106933594,79.0,13.5126953125,56.97999954223633,40.0,13.5126953125,62.93000030517578,80.2631607055664,13.5126953125,148.3405303955078,0.0,13.5126953125,54.20000076293945,0.0,13.5126953125,56.09000015258789,80.78947448730469,13.5048828125,154.82525634765625
31,20.567490577697754,1.7474933862686157,50.0,13.5126953125,57.2599983215332,100.0,13.5126953125,62.22999954223633,0.0,13.5126953125,59.54999923706055,51.0,13.5126953125,65.41999816894531,5.0,13.5126953125,63.68000030517578,26.0,13.5126953125,57.0099983215332,83.5882339477539,13.5126953125,161.2064666748047,84.5882339477539,13.5048828125,165.32823181152344
32,28.792726516723633,1.7286837100982666,60.45833206176758,13.5126953125,120.95458221435547,61.29166793823242,13.5126953125,121.78624725341797,64.125,13.5126953125,124.76333618164062,61.125,13.5126953125,134.40042114257812,44.0,13.5126953125,60.86000061035156,100.0,13.5126953125,63.16999816894531,51.0,13.5126953125,58.939998626708984,76.66666412353516,13.5048828125,137.3454132080078
33,27.85155987739563,1.7228832244873047,71.17391204833984,13.5126953125,125.52434539794922,70.17391204833984,13.5126953125,128.6821746826172,100.0,13.5126953125,57.369998931884766,100.0,13.5126953125,63.029998779296875,3.0,13.5126953125,58.7400016784668,0.0,13.5126953125,55.33000183105469,3.0,13.5126953125,55.11000061035156,66.21739196777344,13.5048828125,137.69651794433594
34,24.14283561706543,1.7169053554534912,100.0,13.5126953125,57.349998474121094,82.30000305175781,13.5126953125,138.0540008544922,0.0,13.5126953125,57.209999084472656,75.8499984741211,13.5126953125,142.7415008544922,0.0,13.5126953125,59.02000045776367,12.0,13.5126953125,54.709999084472656,0.0,13.5126953125,55.970001220703125,64.5999984741211,13.5048828125,146.03250122070312
35,23.93423843383789,1.7117995023727417,67.4000015258789,13.5126953125,131.0679931640625,64.19999694824219,13.5126953125,130.6750030517578,61.400001525878906,13.5126953125,125.50499725341797,64.19999694824219,13.5126953125,134.04249572753906,0.0,13.5126953125,70.87000274658203,0.0,13.5126953125,58.59000015258789,0.0,13.5126953125,58.400001525878906,78.5999984741211,13.5048828125,135.00650024414062
36,19.23176598548889,1.705532431602478,84.75,13.5126953125,155.9618682861328,0.0,13.5126953125,67.55000305175781,8.0,13.5126953125,66.37000274658203,83.375,13.5126953125,160.68687438964844,100.0,13.5126953125,68.76000213623047,100.0,13.5126953125,62.11000061035156,100.0,13.5126953125,61.630001068115234,90.75,13.5048828125,168.1493682861328
37,18.36356282234192,1.6971189975738525,95.0,13.5126953125,60.790000915527344,0.0,13.5126953125,64.33000183105469,0.0,13.5126953125,58.529998779296875,100.0,13.5126953125,67.87999725341797,10.0,13.5126953125,99.01000213623047,82.13333129882812,13.5126953125,159.5226593017578,0.0,13.5126953125,63.29999923706055,92.26667022705078,13.5048828125,166.6046600341797
38,19.932304620742798,1.6901512145996094,82.75,13.5126953125,147.30499267578125,0.0,13.5126953125,137.39999389648438,0.0,13.5126953125,61.529998779296875,82.75,13.5126953125,157.81625366210938,7.0,13.5126953125,64.83999633789062,100.0,13.5126953125,62.900001525878906,58.0,13.5126953125,61.81999969482422,80.0,13.5048828125,73.83000183105469
